Gene,Complication,GTEx_Zscore_Nerve_Tibial,eQTLGen_Zscore,Direction,Annotation
TUBB,DR,2.764,47.8313,Consistent,
TUBB,DN,3.0983,38.5606,Consistent,Consistent strong signal
TUBB,DPN,1.1674,29.4687,Consistent,Signal only detected in eQTLGen
HSP90AB1,DN,24.8976,-1.4564,Inconsistent,"Extreme GTEx signal, attenuated in eQTLGen"
RPS14,DN,21.5281,3.9921,Consistent,Consistent strong signal
RPSA,DN,0.8985,15.0507,Consistent,Signal only detected in eQTLGen
H2AFV,DN,-6.3427,6.608,Inconsistent,Consistent strong signal
GAPDH,DPN,2.6374,13.8765,Consistent,
HSP90AB1,DPN,10.9345,-0.1448,Inconsistent,"Extreme GTEx signal, attenuated in eQTLGen"
RPL13A,DN,-1.9555,-12.6561,Consistent,Signal only detected in eQTLGen
RPS25,DR,3.7949,13.8956,Consistent,Consistent strong signal
DDX5,DR,1.1656,-8.3346,Inconsistent,Signal only detected in eQTLGen
CKAP4,DR,-3.2266,6.1839,Inconsistent,Consistent strong signal
RPL23A,DPN,7.6632,-1.276,Inconsistent,"Extreme GTEx signal, attenuated in eQTLGen"
GAPDH,DR,-0.0695,8.8216,Inconsistent,Signal only detected in eQTLGen
HSP90B1,DR,1.9964,-6.8904,Inconsistent,
RPL13A,DPN,0.8092,9.393,Consistent,Signal only detected in eQTLGen
DDX5,DPN,-1.0683,6.9324,Inconsistent,Signal only detected in eQTLGen
RPL8,DPN,-2.1896,-10.19,Consistent,
HSP90B1,DN,3.4185,-4.4017,Inconsistent,Consistent strong signal
RPS14,DPN,-1.3772,5.5889,Inconsistent,Signal only detected in eQTLGen
RPL13A,DR,-0.8005,6.0405,Inconsistent,Signal only detected in eQTLGen
XRCC5,DR,1.1497,-5.6195,Inconsistent,Signal only detected in eQTLGen
GAPDH,DN,-2.7346,3.866,Inconsistent,
RPS25,DPN,2.2843,8.4571,Consistent,
RPLP0,DR,1.9268,7.9443,Consistent,Signal only detected in eQTLGen
VCP,DPN,-2.6803,2.9939,Inconsistent,
RPLP0,DN,5.2648,10.8736,Consistent,Consistent strong signal
XRCC5,DN,6.1166,0.6144,Consistent,"Extreme GTEx signal, attenuated in eQTLGen"
CKAP4,DPN,12.2379,7.008,Consistent,Consistent strong signal
RPSA,DPN,-0.0364,5.1486,Inconsistent,Signal only detected in eQTLGen
VCP,DN,1.7424,-2.7569,Inconsistent,
CKAP4,DN,4.1154,-0.2626,Inconsistent,"Extreme GTEx signal, attenuated in eQTLGen"
HSP90AB1,DR,3.8845,-0.4909,Inconsistent,"Extreme GTEx signal, attenuated in eQTLGen"
RPS14,DR,-1.4853,2.8735,Inconsistent,
RPL23A,DR,4.7399,0.4609,Consistent,"Extreme GTEx signal, attenuated in eQTLGen"
EIF4A1,DR,4.5645,0.3875,Consistent,"Extreme GTEx signal, attenuated in eQTLGen"
RPS16,DR,-0.0796,3.8897,Inconsistent,Signal only detected in eQTLGen
RPS16,DPN,2.0639,-1.8268,Inconsistent,
H2AFV,DR,1.4177,-2.4704,Inconsistent,
RPLP0,DPN,1.0583,4.8991,Consistent,Signal only detected in eQTLGen
RPS3,DPN,-0.5073,-4.281,Consistent,Signal only detected in eQTLGen
HSP90B1,DPN,0.3115,-2.9119,Inconsistent,
H2AFV,DPN,3.3723,0.6687,Consistent,"Extreme GTEx signal, attenuated in eQTLGen"
RPL23A,DN,2.1999,-0.4382,Inconsistent,
XRCC6,DR,0.4233,-2.1911,Inconsistent,
RNH1,DR,13.8246,11.6172,Consistent,Consistent strong signal
RPS18,DPN,9.9256,7.8392,Consistent,Consistent strong signal
XRCC6,DN,-2.4196,-0.4085,Consistent,
RPS25,DN,0.1561,-1.8357,Inconsistent,
VCP,DR,1.27,3.2246,Consistent,Signal only detected in eQTLGen
RPS3,DN,-2.3509,-0.5203,Consistent,
EIF4A1,DPN,0.4719,1.9419,Consistent,
RPS3,DR,-0.4169,0.8589,Inconsistent,
ACTB,DN,-1.5936,-0.3588,Consistent,
RNH1,DPN,8.5736,9.7761,Consistent,Consistent strong signal
RPL8,DR,-1.0977,0.0409,Inconsistent,
XRCC6,DPN,-0.0151,-1.1529,Consistent,
DDX5,DN,1.5011,2.2744,Consistent,
EIF4A1,DN,0.0106,-0.7604,Inconsistent,
RPS16,DN,-0.2563,-0.98,Consistent,
RPS18,DR,6.8153,7.5234,Consistent,Consistent strong signal
RPS18,DN,9.3828,8.8456,Consistent,Consistent strong signal
RPSA,DR,1.2664,0.7364,Consistent,
XRCC5,DPN,1.8105,1.2976,Consistent,
ACTB,DPN,0.6193,0.2221,Consistent,
ACTB,DR,-1.769,-2.0029,Consistent,
RNH1,DN,7.0023,6.838,Consistent,Consistent strong signal
RPL8,DN,0.6471,0.5357,Consistent,
