Gene,Group,Z_Nerve_Tibial_DR,P_Nerve_Tibial_DR,SNPs_Model_Nerve_Tibial_DR,Z_Nerve_Tibial_DN,P_Nerve_Tibial_DN,SNPs_Model_Nerve_Tibial_DN,Z_Nerve_Tibial_DPN,P_Nerve_Tibial_DPN,SNPs_Model_Nerve_Tibial_DPN,Z_Whole_Blood_DR,P_Whole_Blood_DR,SNPs_Model_Whole_Blood_DR,Z_Whole_Blood_DN,P_Whole_Blood_DN,SNPs_Model_Whole_Blood_DN,Z_Whole_Blood_DPN,P_Whole_Blood_DPN,SNPs_Model_Whole_Blood_DPN,Z_Multi_DR,P_Multi_DR,FDR_Multi_DR,Z_Multi_DN,P_Multi_DN,FDR_Multi_DN,Z_Multi_DPN,P_Multi_DPN,FDR_Multi_DPN,P_ACAT_O_DR,FDR_ACAT_O_DR,P_ACAT_O_DN,FDR_ACAT_O_DN,P_ACAT_O_DPN,FDR_ACAT_O_DPN
ACTB,Candidate,-1.769,0.0768958221220738,1.0,-1.5936,0.111016893104833,1.0,0.6193,0.5357021447316415,1.0,-4.4751,7.636458242260981e-06,1.0,-2.3488,0.0188337375960012,1.0,1.4941,0.1351595193663623,1.0,-4.518,6.243653590884077e-06,2.1445592768688784e-05,-2.8138,0.004896108769861,0.0120872685255943,1.5275,0.1266379979599037,0.2128596135921786,1.443992749955436e-05,4.563017089859178e-05,0.0310390759261495,0.0583830237658526,0.2324939272918369,0.3401300047417614
CKAP4,Candidate,-3.2266,0.0012528729278089,2.0,4.1154,3.865378045964076e-05,2.0,12.2379,1.9489349823557548e-34,2.0,2.9709,0.0029688723914314,1.0,-2.7483,0.0059910175617803,1.0,4.7995,1.5907700230156753e-06,1.0,0.0715,0.9430225259368784,0.9567017817916283,0.686,0.4927003294935207,0.5988204004613559,11.7249,9.501658093848132e-32,1.5012619788280052e-30,0.0018043688596137,0.0041925041149848,8.144256102127212e-05,0.0002474600892569,2.1094237467877974e-15,1.1109631733082401e-14
DDX5,Candidate,1.1656,0.2437652136682844,1.0,1.5011,0.1333240954661403,1.0,-1.0683,0.2853964509179185,1.0,1.1656,0.2437652136682845,1.0,1.5011,0.1333240954661403,1.0,-1.0683,0.2853964509179185,1.0,1.6457,0.0998296381115175,0.1546380668786251,2.1194,0.0340597370205987,0.0689928006314692,-1.5083,0.1314765404887519,0.2163884728877375,0.2437652136682845,0.3156959324556472,0.1333240954661403,0.1987283687136808,0.2853964509179185,0.3955494670616765
EIF4A1,Candidate,4.5645,5.006117521615802e-06,1.0,0.0106,0.991531314183275,1.0,0.4719,0.6369872092115506,1.0,,,,,,,,,,4.5645,5.006862012071366e-06,1.797918631607445e-05,0.0106,0.9915425820350332,0.994599669286962,0.4719,0.6369981680692751,0.7188420872680366,5.006117521633158e-06,1.7976512918591794e-05,0.9915313141832748,0.9915313141832748,0.6369872092115506,0.7087604158832747
EIF4H,Candidate,,,,,,,,,,-1.4912,0.1359019917840088,2.0,0.0315,0.9748481226791068,2.0,-0.8204,0.4119600323556007,2.0,-1.4912,0.1359089936880012,0.1988298240991129,0.0315,0.9748707921461665,0.994599669286962,-0.8204,0.411988115483596,0.5698898117198282,0.1359019917840088,0.1952046791079399,0.9748481226791068,0.9873461755339672,0.4119600323556007,0.5246750791389054
GAPDH,Candidate,-0.0695,0.9445832287208076,2.0,-2.7346,0.0062458691137256,2.0,2.6374,0.008354394099474,2.0,,,,,,,,,,-0.0695,0.9445916326550255,0.9567017817916283,-2.7346,0.0062456121138519,0.0149516168786153,2.6374,0.0083544253760831,0.0183333223530712,0.9445832287208076,0.9638190146638396,0.0062458691137255,0.0145124605877741,0.008354394099474,0.0188570609673842
H2AFV,Candidate,1.4177,0.1562672414694242,2.0,-6.3427,2.2573138072576238e-10,2.0,3.3723,0.0007455237753232,2.0,1.8663,0.0620017074120131,2.0,-3.219,0.0012864612915689,2.0,0.0976,0.9222860958022256,2.0,2.3365,0.0194633198731921,0.04046321763111,-6.623,3.5209381064889985e-11,1.7384631900789428e-10,2.3164,0.0205371556828207,0.040560882473571,0.0871245266576014,0.1349576001166766,4.790536856091876e-10,1.8021543411012294e-09,0.0015990333679422,0.0046786531876827
HNRNPA3,Candidate,3.3783,0.0007293431873726,1.0,10.8347,2.356883514354284e-27,1.0,2.9942,0.0027514647577058,1.0,,,,,,,,,,3.3783,0.0007293546485795,0.0018005942886807,10.8347,2.3573682017514725e-27,1.8623208793836634e-26,2.9942,0.0027516550804027,0.0062108786100518,0.0007293431873726,0.0018005659938261,9.992007221626409e-16,1.3887039666352999e-14,0.0027514647577058,0.0072455238619586
HSP90AB1,Candidate,3.8845,0.0001025529789543,3.0,24.8976,7.900396904111496e-137,3.0,10.9345,7.882108310034506e-28,3.0,-1.3859,0.1657729117015397,2.0,1.7638,0.0777732827366219,2.0,-1.7674,0.0771660860542019,2.0,1.5496,0.1212450785738515,0.1807237963647976,17.8807,1.6677206358955276e-71,4.074662308685641e-70,5.955,2.601401351957485e-09,1.2844419175290082e-08,0.0002175038085709,0.0005816518784144,2.1094237467877974e-15,1.3887039666352999e-14,2.1094237467877974e-15,1.1109631733082401e-14
HSP90B1,Candidate,1.9964,0.0458922103218679,2.0,3.4185,0.000629700341284,2.0,0.3115,0.7554389430401984,2.0,-0.0995,0.9207702352704012,1.0,6.8908,5.548239106772257e-12,1.0,4.5238,6.07426373204088e-06,1.0,1.2539,0.2098870554607509,0.2825612528918226,7.4189,1.181033270382575e-13,6.664402025730243e-13,3.5847,0.0003374898517765,0.0009193689065636,0.2257627252055946,0.3022924625634233,1.0492162694220042e-11,4.8757697226081376e-11,1.1487142198340903e-05,4.12492833485878e-05
RNH1,Candidate,13.8246,1.8105115032398722e-43,4.0,7.0023,2.5176310308295463e-12,4.0,8.5736,1.0026420404644112e-17,4.0,12.4974,7.714872779759854e-36,3.0,7.028,2.095854338306345e-12,3.0,6.358,2.0439374489834624e-10,3.0,18.5277,1.2343045100387094e-76,4.875502814652902e-75,9.9056,3.9379175855402905e-23,2.828140811433481e-22,10.4507,1.4547073963812043e-25,1.915364738568585e-24,9.992007221626409e-16,1.6664447599623602e-14,2.275513111271721e-12,1.2840395413604712e-11,2.1094237467877974e-15,1.1109631733082401e-14
RPL13A,Candidate,-0.8005,0.423407176575913,1.0,-1.9555,0.0505247644539577,1.0,0.8092,0.4184117719715322,1.0,,,,,,,,,,-0.8005,0.423421163556685,0.4908355143285047,-1.9555,0.0505240833640554,0.0950333948990566,0.8092,0.4184001149335448,0.5698898117198282,0.423407176575913,0.5146025684538019,0.0505247644539577,0.0907149179968786,0.4184117719715322,0.5246750791389054
RPL23A,Candidate,4.7399,2.1379344670246005e-06,1.0,2.1999,0.0278121081588752,1.0,7.6632,1.8139304499362485e-14,1.0,,,,,,,,,,4.7399,2.1382372211148703e-06,8.446037023403739e-06,2.1999,0.0278139907260529,0.0578238228252152,7.6632,1.813565904735438e-14,1.3024700588554511e-13,2.137934467016933e-06,8.04270585211132e-06,0.0278121081588751,0.0549289136137785,1.8152146452621313e-14,8.435409233865199e-14
RPL5,Candidate,,,,,,,,,,1.1868,0.2353257000491481,1.0,-2.0563,0.039749764306134,1.0,0.5513,0.5813983398214557,1.0,1.1868,0.2353065188490556,0.3047412293291048,-2.0563,0.0397536083075149,0.0785133764073419,0.5513,0.581428038495011,0.7098898052579218,0.2353257000491481,0.3098455050647116,0.0397497643061339,0.0730286367484786,0.5813983398214557,0.6797057006862227
RPL8,Candidate,-1.0977,0.2723395215860514,1.0,0.6471,0.517568161449689,1.0,-2.1896,0.0285551957090863,1.0,-1.0977,0.2723395215860514,2.0,0.6471,0.517568161449689,2.0,-2.1896,0.0285551957090863,2.0,-1.5498,0.1211861971417399,0.1807237963647976,0.9136,0.3609146951699832,0.4752043486404779,-3.0914,0.00199188990741,0.0047684637177391,0.2723395215860514,0.3470132613757751,0.517568161449689,0.610266936634708,0.0285551957090863,0.0593647489741531
RPLP0,Candidate,1.9268,0.05400361347779,2.0,5.2648,1.403659043449832e-07,2.0,1.0583,0.2899076162950902,2.0,4.6646,3.0922762944622117e-06,2.0,4.3313,1.4825465253887551e-05,2.0,2.1893,0.0285727881387344,2.0,4.7644,1.893913916875653e-06,7.874694707009293e-06,6.7363,1.6248564057025958e-11,8.557577070033671e-11,2.3386,0.0193569134453242,0.0392101580046312,5.847457266505707e-06,2.008474452408482e-05,2.947567945277285e-07,9.702411153204396e-07,0.0505742604353465,0.0908037857816449
