Pair_ID,Candidate_Gene,Candidate_Group,Candidate_log10_Length,Candidate_Length_bp,Candidate_n_eQTL_SNPs,Control_Gene,Control_Group,Control_log10_Length,Control_Length_bp,Control_n_eQTL_SNPs
Pair_01,CKAP4,30_HOTAIR_Candidate,4.31355087133351,20585.0,1.5,MYH9,NonCandidate,4.82439921664226,66742.0,2
Pair_10,RNH1,30_HOTAIR_Candidate,4.2964457942064,19790.0,3.5,ANXA5,NonCandidate,4.60573589387675,40340.0,3.5
Pair_11,RPL8,30_HOTAIR_Candidate,3.91750550955255,8270.0,1,NCL,NonCandidate,4.11464433890228,13021.0,3
Pair_12,EIF4A1,30_HOTAIR_Candidate,4.20087784574903,15881.0,1,RPS8,NonCandidate,3.70475090429067,5067.0,1
Pair_13,RPS14,30_HOTAIR_Candidate,3.72296280894249,5284.0,1.5,EEF1A1P5,NonCandidate,4.28807028264325,19412.0,1.5
Pair_14,RPLP0,30_HOTAIR_Candidate,3.74067842522745,5504.0,2,PDIA3,NonCandidate,4.15396722164548,14255.0,1.5
Pair_15,RPS16,30_HOTAIR_Candidate,3.56643749219507,3685.0,1.5,RPL18,NonCandidate,3.66950283410434,4672.0,1.5
Pair_16,XRCC5,30_HOTAIR_Candidate,4.58946926734612,38857.0,2.5,RPS3A,NonCandidate,3.85618492672717,7181.0,1
Pair_17,H2AFV,30_HOTAIR_Candidate,4.18003981092718,15137.0,2,DHX9,NonCandidate,4.63027528575769,42685.0,1
Pair_18,RPS13,30_HOTAIR_Candidate,3.76797172138162,5861.0,2,PDIA6,NonCandidate,4.12965767331269,13479.0,1
Pair_19,XRCC6,30_HOTAIR_Candidate,4.41539073818257,26025.0,2,RPN1,NonCandidate,4.05180829431709,11267.0,1
Pair_02,HSP90AB1,30_HOTAIR_Candidate,4.37316955890372,23614.0,2.5,H2BC13,NonCandidate,3.75694023604672,5714.0,1.5
Pair_20,ACTB,30_HOTAIR_Candidate,3.7279477095448,5345.0,1,RPL7,NonCandidate,3.84391763800639,6981.0,1
Pair_21,RPS3,30_HOTAIR_Candidate,3.89226160691554,7803.0,1,RPS15,NonCandidate,3.77202816532485,5916.0,1.5
Pair_22,DDX5,30_HOTAIR_Candidate,4.11750329942923,13107.0,1,MFAP1,NonCandidate,4.21394254684008,16366.0,1
Pair_23,EIF4H,30_HOTAIR_Candidate,4.08116721471347,12055.0,2,CCT3,NonCandidate,4.00817418400643,10190.0,1.5
Pair_24,ILF2,30_HOTAIR_Candidate,4.34129600311007,21943.0,1,GNA13,NonCandidate,4.0855759697185,12178.0,1
Pair_25,RPL23A,30_HOTAIR_Candidate,3.73255457985143,5402.0,1,RPL14,NonCandidate,3.65185926924695,4486.0,1.5
Pair_26,HNRNPA3,30_HOTAIR_Candidate,4.0320947130529,10767.0,1,ANXA1,NonCandidate,4.38102478140983,24045.0,2
Pair_27,YWHAQ,30_HOTAIR_Candidate,4.45694268474989,28638.0,1,SEPTIN2,NonCandidate,4.34054325751419,21905.0,1.5
Pair_28,RPL13A,30_HOTAIR_Candidate,3.7681198941848,5863.0,1,UBA52,NonCandidate,3.40226138245468,2525.0,2
Pair_29,RPS18,30_HOTAIR_Candidate,3.74178169614317,5518.0,1.5,SERPINB9,NonCandidate,3.61415870950918,4113.0,1.5
Pair_03,HSPA8,30_HOTAIR_Candidate,3.86320385902863,7298.0,1.5,ENO1,NonCandidate,4.13573674350947,13669.0,1.5
Pair_30,RPS25,30_HOTAIR_Candidate,3.6707095952238,4685.0,1.5,RPL27A,NonCandidate,3.71717102683231,5214.0,2
Pair_04,TUBB,30_HOTAIR_Candidate,3.65896484266443,4560.0,1,C1QBP,NonCandidate,3.87273882747267,7460.0,1.5
Pair_05,GAPDH,30_HOTAIR_Candidate,3.67951874369579,4781.0,2,MSN,NonCandidate,4.26913919679218,18584.0,1.5
Pair_06,RPL5,30_HOTAIR_Candidate,3.86975959478241,7409.0,1,PABPC1,NonCandidate,4.04012744178146,10968.0,1.5
Pair_07,HSP90B1,30_HOTAIR_Candidate,4.02710486587935,10644.0,1.5,HNRNPK,NonCandidate,4.03286041595214,10786.0,1.5
Pair_08,VCP,30_HOTAIR_Candidate,4.19865708695442,15800.0,2,EEF2,NonCandidate,4.07733156112899,11949.0,2
Pair_09,RPSA,30_HOTAIR_Candidate,3.77807886193746,5999.0,3,HSPD1,NonCandidate,3.79091819521458,6179.0,1
