Gene,Group,Source,Analyzed,PD_Unused_Score,PD_Sequence_Coverage_Pct,PD_Peptides_95pct,Gene_Length_bp,GC_Content_Pct,Mean_eQTL_SNP_Count
ACTB,Candidate,Literature Curation,Yes,0.0,0.0,0,5345.0,51.0,1.0
DDX5,Candidate,Literature Curation,Yes,0.0,0.0,0,13107.0,42.1,1.0
EIF4H,Candidate,Literature Curation,Yes,0.0,0.0,0,12055.0,44.9,2.0
H2AFV,Candidate,Literature Curation,Yes,0.0,0.0,0,15137.0,43.7,2.0
HNRNPA3,Candidate,Literature Curation,No,0.0,0.0,0,10767.0,47.0,1.0
ILF2,Candidate,Literature Curation,Yes,0.0,0.0,0,21943.0,43.1,1.0
RPL13A,Candidate,Literature Curation,Yes,0.0,0.0,0,5863.0,49.3,1.0
RPL23A,Candidate,Literature Curation,Yes,0.0,0.0,0,5402.0,44.8,1.0
RPS13,Candidate,Literature Curation,Yes,0.0,0.0,0,5861.0,44.7,2.0
RPS18,Candidate,Literature Curation,Yes,0.0,0.0,0,5518.0,48.1,
RPS25,Candidate,Literature Curation,Yes,0.0,0.0,0,4685.0,46.3,
RPS3,Candidate,Literature Curation,Yes,0.0,0.0,0,7803.0,41.4,1.0
XRCC5,Candidate,Literature Curation,Yes,0.0,0.0,0,38857.0,39.3,2.5
XRCC6,Candidate,Literature Curation,Yes,0.0,0.0,0,26025.0,39.3,2.0
YWHAQ,Candidate,Literature Curation,Yes,0.0,0.0,0,28638.0,42.4,1.0
CKAP4,Candidate,RNA Pull-down,Yes,14.64,33.8899999856949,8,20585.0,47.8,1.5
EIF4A1,Candidate,RNA Pull-down,Yes,3.71,11.8199996650219,2,15881.0,41.5,1.0
GAPDH,Candidate,RNA Pull-down,Yes,6.18,33.4300011396408,4,4781.0,55.7,2.0
HSP90AB1,Candidate,RNA Pull-down,Yes,11.37,24.4499996304512,4,23614.0,45.0,2.5
HSP90B1,Candidate,RNA Pull-down,Yes,4.63,11.8299998342991,2,10644.0,49.8,1.5
HSPA8,Candidate,RNA Pull-down,Yes,9.7,16.0999998450279,5,7298.0,46.0,
RNH1,Candidate,RNA Pull-down,Yes,4.0,11.0600002110004,2,19790.0,44.3,3.5
RPL5,Candidate,RNA Pull-down,No,4.99,18.1799992918968,2,7409.0,46.9,1.0
RPL8,Candidate,RNA Pull-down,Yes,3.79,13.6199995875359,2,8270.0,45.6,1.0
RPLP0,Candidate,RNA Pull-down,Yes,2.13,16.7199999094009,1,5504.0,46.3,2.0
RPS14,Candidate,RNA Pull-down,Yes,2.32,9.27200019359589,1,5284.0,47.5,1.5
RPS16,Candidate,RNA Pull-down,Yes,1.52,28.0800014734268,1,3685.0,48.0,1.5
RPSA,Candidate,RNA Pull-down,Yes,4.01,12.8800004720688,2,5999.0,50.2,3.0
TUBB,Candidate,RNA Pull-down,Yes,6.5,13.289999961853,3,4560.0,50.5,1.0
VCP,Candidate,RNA Pull-down,Yes,4.1,7.32000023126602,2,15800.0,51.8,2.0
